2026-03-10 23:17:46 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 23:17:46 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 23:17:46 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 23:17:46 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 23:17:46 | INFO     | agents.base:log_start:21 - [VideoEditor] Starting: Editing video from kling
2026-03-10 23:17:46 | INFO     | agents.base:log_complete:28 - [VideoEditor] Completed: Video editing -> /tmp/edited-video.mp4...
2026-03-10 23:18:07 | INFO     | agents.base:log_start:21 - [PromptGenerator] Starting: Generating video prompts
2026-03-10 23:18:07 | INFO     | agents.base:log_complete:28 - [PromptGenerator] Completed: Prompt generation -> Generated prompts for 4 models...
2026-03-10 23:18:07 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 23:18:07 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 23:18:07 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 23:18:07 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 23:18:07 | INFO     | agents.base:log_start:21 - [VideoEditor] Starting: Editing video from kling
2026-03-10 23:18:07 | INFO     | agents.base:log_complete:28 - [VideoEditor] Completed: Video editing -> /tmp/edited-video.mp4...
2026-03-10 23:26:47 | INFO     | agents.base:log_start:21 - [QualityEvaluator] Starting: Evaluating 2 videos
2026-03-10 23:26:47 | ERROR    | agents.base:log_error:32 - [QualityEvaluator] Error in Evaluating flashy: 'QualityEvaluator' object has no attribute '_build_evaluation_result'
2026-03-10 23:26:47 | ERROR    | agents.base:log_error:32 - [QualityEvaluator] Error in Evaluating consistent: 'QualityEvaluator' object has no attribute '_build_evaluation_result'
2026-03-10 23:26:47 | INFO     | agents.base:log_complete:28 - [QualityEvaluator] Completed: Quality evaluation -> Best: flashy (Score: 0.0)...
2026-03-10 23:26:47 | INFO     | agents.base:log_start:21 - [QualityEvaluator] Starting: Evaluating 2 videos
2026-03-10 23:26:47 | ERROR    | agents.base:log_error:32 - [QualityEvaluator] Error in Evaluating rejected: 'QualityEvaluator' object has no attribute '_build_evaluation_result'
2026-03-10 23:26:47 | ERROR    | agents.base:log_error:32 - [QualityEvaluator] Error in Evaluating qualified: 'QualityEvaluator' object has no attribute '_build_evaluation_result'
2026-03-10 23:26:47 | INFO     | agents.base:log_complete:28 - [QualityEvaluator] Completed: Quality evaluation -> Best: rejected (Score: 0.0)...
2026-03-10 23:27:49 | INFO     | agents.base:log_start:21 - [QualityEvaluator] Starting: Evaluating 2 videos
